Gene name,Strand,RefSeq mRNA ID,NCBI gene (formerly Entrezgene) ID
MT-TF,1,,
MT-RNR1,1,,
MT-TV,1,,
MT-RNR2,1,,
MT-TL1,1,,
MT-ND1,1,,4535
MT-TI,1,,
MT-TQ,-1,,
MT-TM,1,,
MT-ND2,1,,4536
MT-TW,1,,
MT-TA,-1,,
MT-TN,-1,,
MT-TC,-1,,
MT-TY,-1,,
MT-CO1,1,,4512
MT-TS1,-1,,113219467
MT-TD,1,,
MT-CO2,1,,4513
MT-TK,1,,
MT-ATP8,1,,4509
MT-ATP6,1,,4508
MT-CO3,1,,4514
MT-TG,1,,
MT-ND3,1,,4537
MT-TR,1,,
MT-ND4L,1,,4539
MT-ND4,1,,4538
MT-TH,1,,
MT-TS2,1,,
MT-TL2,1,,
MT-ND5,1,,4540
MT-ND6,-1,,4541
MT-TE,-1,,
MT-CYB,1,,4519
MT-TT,1,,
MT-TP,-1,,
,-1,,102724250
,1,,
5S_rRNA,1,,
,-1,,
INTS3,1,NM_023015,65123
INTS3,1,NM_001324475,65123
INTS3,1,,65123
5_8S_rRNA,-1,,
LINC01115,-1,,339822
KIR2DL3,1,NM_015868,3804
LILRP2,1,,79166
KIR2DL4,1,NM_001080770,3805
KIR2DL4,1,NM_002255,3805
LINC02109,1,,
LILRP1,1,,
KIR3DL2,1,NM_006737,3812
KIR3DL2,1,NM_001242867,3812
KIR3DL2,1,,3812
KIR2DL1,1,NM_014218,3802
KIR3DL1,1,NM_001322168,3811
KIR3DL1,1,,3811
KIR2DS3,1,NM_012313,3808
KIR2DS4,1,NM_001281971,3809
KIR2DS4,1,NM_001281972,3809
KIR3DL3,1,NM_153443,115653
KIR2DL2,1,NM_014219,3803
KIR2DL4,1,NM_001080772,3805
KIR2DL4,1,,3805
KIR2DS4,1,,3809
PCMTD2,1,NM_001104925,55251
PCMTD2,1,,55251
PCMTD2,1,NM_018257,55251
NCR1,1,NM_004829,9437
NCR1,1,NM_001145458,9437
NCR1,1,NM_001145457,9437
NCR1,1,,9437
NCR1,1,NM_001242357,9437
KIR3DL1,1,NM_013289,3811
KIR3DP1,1,,
KIR2DS2,1,NM_012312,100132285
KIR2DS2,1,NM_001291695,100132285
KIR2DS2,1,NM_001291701,100132285
KIR2DS2,1,NM_001291696,100132285
KIR2DS2,1,NM_001291700,100132285
KIR2DS2,1,,100132285
FCAR,1,NM_133273,2204
FCAR,1,,2204
FCAR,1,NM_002000,2204
FCAR,1,NM_133271,2204
